t,id,iq,wr,ud,uq,tl,te,theta
0.099495,40.884113,9.648390,6.561480,100.000000,100.000000,0.000000,20.850899,0.723687
0.200007,41.623665,9.481318,6.447332,100.000000,100.000000,0.000000,21.228069,1.371049
0.300665,41.636993,9.478341,6.439311,100.000000,100.000000,0.000000,21.234867,2.019912
0.399911,41.637123,9.478364,6.445288,100.000000,100.000000,0.000000,21.234932,2.663855
0.499457,41.637142,9.478362,6.445286,100.000000,100.000000,0.000000,21.234943,3.304882
0.599459,41.637157,9.478353,6.445280,100.000000,100.000000,0.000000,21.234951,3.945932
0.699867,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,4.589569
0.799270,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,5.229383
0.899270,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,5.869196
0.999270,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,6.509009
1.099270,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,7.148823
1.199270,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,7.788636
1.299518,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,8.430079
1.399515,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,9.071512
1.499515,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,9.712946
1.599515,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,10.354380
1.699515,41.637207,9.478348,6.445277,100.000000,100.000000,0.000000,21.234976,10.995813
1.800025,2.981570,1.344175,0.913922,5.000000,5.000000,0.000000,1.520601,11.106331
1.899747,2.062698,1.493425,1.015525,5.000000,5.000000,0.000000,1.051976,11.204720
2.000119,2.041466,1.499386,1.019800,5.000000,5.000000,0.000000,1.041148,11.306702
2.100830,2.040991,1.499540,1.019688,5.000000,5.000000,0.000000,1.040905,11.409506
2.199478,2.040984,1.499541,1.019688,5.000000,5.000000,0.000000,1.040902,11.510927
2.299446,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,11.612337
2.399492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,11.713808
2.499492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,11.815279
2.599492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,11.916750
2.699492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.018221
2.799492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.119692
2.899492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.221163
2.999492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.322634
3.099492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.424105
3.199492,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.525576
3.299491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.627047
3.399491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.728518
3.499491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.829988
3.599491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,12.931459
3.699491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.032930
3.799491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.134401
3.899491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.235872
3.999491,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.337343
4.099473,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.438814
4.199474,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.540285
4.299474,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.641756
4.399474,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.743227
4.499474,2.040981,1.499543,1.019689,5.000000,5.000000,0.000000,1.040900,13.844698
